15m,20m,25m,30m,35m,40m,45m,50m
5.05,7.07,9.08,11.20,13.33,15.58,17.82,20.0
5.11,7.15,9.19,11.33,13.48,15.75,18.01,20.2
5.17,7.24,9.30,11.47,13.63,15.92,18.20,20.4
5.23,7.32,9.41,11.60,13.79,16.09,18.39,20.6
5.29,7.41,9.52,11.73,13.94,16.26,18.59,20.8
5.35,7.49,9.63,11.86,14.09,16.43,18.78,21.0
5.41,7.57,9.73,11.99,14.24,16.61,18.97,21.2
5.47,7.66,9.84,12.12,14.40,16.78,19.16,21.4
5.53,7.74,9.95,12.25,14.55,16.95,19.35,21.6
5.60,7.83,10.06,12.38,14.70,17.12,19.54,21.8
5.66,7.91,10.17,12.51,14.85,17.29,19.73,22.0
5.72,8.00,10.28,12.64,15.00,17.46,19.92,22.2
5.78,8.08,10.39,12.77,15.16,17.63,20.11,22.4
5.84,8.17,10.50,12.90,15.31,17.81,20.30,22.6
5.90,8.25,10.61,13.03,15.46,17.98,20.49,22.8
5.96,8.34,10.72,13.16,15.61,18.15,20.68,23.0
6.02,8.42,10.82,13.30,15.76,18.32,20.88,23.2
6.08,8.51,10.93,13.43,15.92,18.49,21.07,23.4
6.14,8.59,11.04,13.56,16.07,18.66,21.26,23.6
6.20,8.67,11.15,13.69,16.22,18.83,21.45,23.8
6.26,8.76,11.26,13.82,16.37,19.01,21.64,24.0
6.32,8.84,11.37,13.95,16.53,19.18,21.83,24.2
6.38,8.93,11.48,14.08,16.68,19.35,22.02,24.4
6.44,9.01,11.59,14.21,16.83,19.52,22.21,24.6
6.50,9.10,11.70,14.34,16.98,19.69,22.40,24.8
6.56,9.18,11.80,14.47,17.13,19.86,22.59,25.0
6.62,9.27,11.91,14.60,17.29,20.03,22.78,25.2
6.68,9.35,12.02,14.73,17.44,20.21,22.97,25.4
6.75,9.44,12.13,14.86,17.59,20.38,23.17,25.6
6.81,9.52,12.24,14.99,17.74,20.55,23.36,25.8
6.87,9.61,12.35,15.12,17.90,20.72,23.55,26.0